<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VN30,20170323,677.0700,689.3200,677.0700,689.3200,74215690
^VN30,20170324,692.5200,696.2200,689.9500,691.7600,102613616
^VN30,20170327,692.8200,695.5300,691.3800,693.4900,90356160
^VN30,20170328,693.9100,695.0400,687.4100,688.3100,78941345
^VN30,20170329,688.5700,689.9100,685.6900,689.9100,74664815
^VN30,20170330,692.1100,696.9300,692.1100,692.5000,82673630
^VN30,20170331,693.5600,696.9700,693.0100,693.2200,65381570
^VN30,20170403,693.4200,697.3200,693.4200,696.7300,72477028
^VN30,20170404,699.3500,702.0500,698.4900,699.0700,76417240
^VN30,20170405,697.9900,698.8800,691.0700,691.0700,77492315
^VN30,20170407,687.0900,697.6200,685.6300,697.6200,113022465
^VN30,20170410,698.4900,699.8600,696.6600,696.7200,54521740
^VN30,20170411,696.7800,699.4000,696.7100,697.9300,68893791
^VN30,20170412,697.9200,698.8700,689.7700,692.4000,84638983
^VN30,20170413,692.5000,693.8100,687.7200,687.7200,63624097
^VN30,20170414,686.4500,686.4500,674.9400,678.4500,64822700
^VN30,20170417,680.2700,683.4800,669.3100,669.3100,52530510
^VN30,20170418,669.6700,675.7100,665.3500,675.7100,60731951
^VN30,20170419,675.6700,679.6900,675.1200,679.6900,41674860
^VN30,20170420,679.4300,679.7000,674.3000,674.3000,37002663
^VN30,20170421,676.3500,677.8300,671.9500,672.6000,91887296
^VN30,20170424,671.8000,673.1300,667.0800,667.0800,53386820
^VN30,20170425,667.9600,670.3200,665.6600,668.5800,34409270
^VN30,20170426,669.1200,673.5300,667.9600,673.5300,39379740
^VN30,20170427,673.6700,682.4100,673.6700,681.3600,59560642
^VN30,20170428,678.5900,683.1400,677.2100,680.4900,67754470
^VN30,20170503,681.7000,684.9900,680.9500,684.9900,56671814
^VN30,20170504,684.8000,688.7500,683.4400,686.2900,72084620
^VN30,20170505,684.9500,687.4100,684.0900,684.1700,57666344
^VN30,20170508,683.1500,684.1700,681.0600,681.1100,72766965
^VN30,20170509,680.4200,688.0800,680.3400,688.0800,82028620
